name,location,manufacturer,designer,type,model,track_layout,status,lift_launch,latitude,longitude,open_year,close_year,height,length,drop,max_angle,inversions,speed,restriction_low,restriction_up,gforce,duration,riders_per_hour,riders_per_train
The Legend ,Holiday World & Splashin' Safari,Custom Coasters International,"Dennis McNulty, Larry Bill",Wood,,terrain,operating,lift,38.1202,-86.914,2000,,30.1752,1232.0016,34.4424,,0,94.4,1.2192,,,120.0,800.0,24.0
Lightning Racer,,Great Coasters International,,Wood,racing,,operating,lift,40.2929,-76.6532,2000,,28.041600000000003,1034.1864,27.432000000000002,45.0,0,81.60000000000001,1.2192,,3.6,140.0,,
Linnunrata,Linnanmäki,Zierer,Werner Stengel,Steel,force,,operating,,60.1878,24.94,2000,,7.010400000000001,91.44,,,0,39.84,1.2,1.95,,60.0,800.0,
Medusa (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Bolliger & Mabillard,Werner Stengel,Steel,floorless,,operating,lift,38.1406,-122.2336,2000,,45.72,1199.9976000000001,45.72,,7,104.0,1.3716,,4.5,195.0,1600.0,32.0
Mega Zeph,Six Flags New Orleans,Custom Coasters International,,Wood,,,closed,lift,30.0531,-89.9375,2000,2005.0,33.528,1219.2,,,0,91.2,1.2192,,,,,24.0
Millennium Force,Cedar Point,Intamin,Werner Stengel,Steel,custom,out and back,operating,lift,41.4817,-82.6881,2000,,94.488,2010.1560000000002,91.44,80.0,0,148.8,1.2192,1.9812,4.5,140.0,1300.0,36.0
Muskrat Scrambler,Six Flags New Orleans,L&T Systems,,Steel,,wild mouse,closed,lift,30.0515,-89.9357,2000,2005.0,14.50848,360.70032000000003,,,0,40.0,1.2192,,,,700.0,4.0
Possessed ,,Intamin,Werner Stengel,Steel,,shuttle,,launch,,,2000,2006.0,54.864000000000004,214.57920000000001,,90.0,0,112.0,1.3208000000000002,1.9812,3.7,,950.0,28.0
Ravine Flyer III,Waldameer Park,E&F Miler Industries,,Steel,,,operating,lift,42.109,-80.1565,2000,,,,,,0,,1.016,,,,,
RC-48,Morey's Piers,Pinfari,,Steel,custom,,closed,lift,38.9888,-74.8023,2000,2004.0,,,,,0,,1.2192,,,,,12.0
Road Runner Express (Six Flags Kentucky Kingdom),Six Flags Kentucky Kingdom,Maurer AG,Ingenieur Buro Stengel GmbH,Steel,,wild mouse,,,,,2000,2009.0,15.0114,369.99672000000004,,46.0,0,44.800000000000004,1.1684,,,92.0,900.0,
Road Runner Express (Six Flags New Orleans),Six Flags New Orleans,Vekoma,,Steel,junior,,,lift,,,2000,2005.0,8.50392,207.02016000000003,,,0,34.72,0.9144,,,44.0,780.0,16.0
Road Runner Rollercoaster,Warner Bros. Movie World,Vekoma,,Steel,junior,,,,,,2000,,13.014960000000002,102.108,,,0,45.6,,,,66.0,1000.0,16.0
Roller Coaster (Papéa Parc),Papéa Parc,Zierer,Werner Stengel,Other,tivoli,figure 8,,,41.3535,-81.3756,2000,2007.0,8.01624,359.99928,7.62,,0,35.839999999999996,,,,,1250.0,40.0
Roller Coaster (Suoi Tien Park),Suoi Tien Amusement Park,Vekoma,,Steel,,,operating,lift,10.8607,106.8044,2000,,29.992320000000003,365.76,3.6576000000000004,45.0,0,69.60000000000001,1.2192,,2.0,150.0,1600.0,
Son of Beast,Kings Island,Roller Coaster Corporation of America,Werner Stengel,Wood,,terrain,closed,lift,39.3461,-84.2647,2000,2009.0,66.4464,2143.3536,65.2272,55.7,1,125.44000000000001,1.2192,,4.5,140.0,1600.0,24.0
Speed – The Ride,,Premier Rides,Werner Stengel,Steel,,,,,,,2000,2011.0,68.2752,416.052,,90.0,1,112.0,1.3716,,3.5,45.0,1600.0,
Speed of Sound ,Walibi Holland,Vekoma,Vekoma,Steel,boomerang,,operating,lift,52.4406,5.7681,2000,,35.5092,284.988,,56.0,3,75.2,1.2192,,5.2,108.0,760.0,28.0
Steel Dragon 2000,Nagashima Spa Land,D. H. Morgan Manufacturing,Steve Okamoto,Steel,,out and back,operating,lift,35.0312,136.7301,2000,,96.98736,755.5992,28.498800000000003,68.0,0,152.0,1.4000000000000001,1.85,,240.0,,28.0
Superman – Ride of Steel,,Intamin,Werner Stengel,Steel,,,,lift,,,2000,,63.3984,1645.92,62.484,68.0,0,116.80000000000001,1.3716,1.9304,,122.0,1100.0,32.0
Superman The Ride,Six Flags New England,Intamin,Werner Stengel,Steel,,out and back,operating,lift,42.0386,-72.6114,2000,,63.3984,1645.92,67.3608,72.0,0,123.2,1.3716,1.9304,3.6,155.0,1300.0,36.0
Superman: Krypton Coaster,Six Flags Fiesta Texas,Bolliger & Mabillard,Werner Stengel,Steel,floorless,terrain,operating,lift,29.5952,-98.61,2000,,51.2064,1226.8200000000002,49.6824,58.0,6,112.0,1.3716,,3.8,155.0,1600.0,32.0
Svalbard Ekspressen,Kongeparken,Vekoma,,Steel,junior,,operating,,58.7801,5.8405,2000,,8.50392,207.02016000000003,,,0,34.72,,,,44.0,780.0,
Untamed (Walibi Holland),Walibi Holland,Rocky Mountain Construction,Alan Schilke,Steel,i-box,,operating,lift,52.4428,5.7608,2000,,36.51504,1084.99656,35.38728,80.0,5,91.52000000000001,1.2,,,106.0,900.0,24.0
Villain ,Geauga Lake,Custom Coasters International,,Other,,out and back,closed,lift,41.3528,-81.3725,2000,2007.0,36.576,1213.104,32.9184,,0,94.4,1.2192,,,150.0,,24.0
Woodstock Express (Dorney Park),Dorney Park & Wildwater Kingdom,Zamperla,,Steel,family,,operating,lift,40.5793,-75.5326,2000,,3.9624,80.01,2.4384,,0,20.8,1.0668000000000002,,,,,12.0
Xpress: Platform 13,Walibi Holland,Vekoma,,Steel,,,operating,launch,52.4392,5.7639,2000,,25.908,995.7816,,,3,89.44,1.2,,,100.0,1200.0,
Zydeco Scream,,Vekoma,Arrow Dynamics,Steel,boomerang,,,,,,2000,,35.5092,284.988,,,3,75.2,1.2192,,5.2,108.0,760.0,28.0
Batwing ,Six Flags America,Vekoma,Vekoma,Steel,flying,,operating,,38.9103,-76.7786,2001,,35.052,1018.032,31.3944,33.0,5,80.0,1.3716,1.9812,4.3,122.0,850.0,24.0
California Screamin',Disney California Adventure,Intamin,Walt Disney Imagineering,Steel,looping,custom,operating,launch,33.8046,-117.9218,2001,,37.1856,1850.7456000000002,32.9184,,1,88.0,1.2192,,,156.0,,24.0
Cheetah (Wild Adventures),Wild Adventures,Custom Coasters International,,Wood,custom,out and back,closed,lift,30.7196,-83.3257,2001,2020.0,28.041600000000003,816.864,27.432000000000002,,0,83.2,1.2192,,,64.0,1200.0,24.0
Colossos - Kampf der Giganten,Heide Park,Intamin,Werner Stengel,Wood,custom,out and back,operating,lift,53.0231,9.8833,2001,,49.9872,409.6512,14.7828,61.0,0,109.44000000000001,1.397,,4.5,145.0,1030.0,
Cornball Express,Indiana Beach,Custom Coasters International,,Wood,,,operating,lift,40.7898,-86.771,2001,,16.764,640.08,15.24,,0,72.0,1.1176000000000001,,4.7,51.0,,24.0
Déjà Vu ,,Vekoma,,Other,,,in production,,,,2001,,59.009280000000004,111.86160000000001,16.4592,,0,104.96,,,,92.0,870.0,
Do-Dodonpa,Fuji-Q Highland,S&S – Sansei Technologies,,Steel,,,closed,launch,35.4877,138.7823,2001,,49.01184000000001,379.1712,,,1,178.88,1.3,,,,80.0,8.0
Expedition GeForce,"Holiday Park, Germany",Intamin,Werner Stengel,Steel,,,operating,,49.32,8.295,2001,,53.0352,1220.02296,51.2064,82.0,0,119.36,1.397,,4.5,75.0,1300.0,
Flying Ace Aerial Chase,Kings Island,Vekoma,Peter Clerx,Steel,suspended family,,operating,lift,,,2001,,14.81328,341.98560000000003,,,0,41.6,1.1176000000000001,1.9304,2.2,90.0,650.0,20.0
Giant Inverted Boomerang,,Vekoma,,Other,,,in production,,,,2001,,59.009280000000004,111.86160000000001,16.4592,,0,104.96,,,,92.0,870.0,
The Gold Coaster,,Arrow Dynamics,,Steel,,,,lift,,,2001,2001.0,39.98976,274.32,,,2,84.48,1.2,2.05,3.0,,400.0,24.0
Goofy's Sky School,Disney California Adventure,Mack Rides,Walt Disney Imagineering,Steel,,,operating,lift,33.8063,-117.923,2001,2010.0,16.764,365.76,,,0,43.2,1.0668000000000002,,,105.0,,4.0
Hypersonic XLC,Kings Dominion,S&S – Sansei Technologies,S&S – Sansei Technologies,Steel,custom,out and back,closed,launch,37.8372,-77.446,2001,2007.0,50.292,475.488,40.5384,90.0,0,128.0,1.3716,,4.0,16.0,1380.0,
Incredicoaster,Disney California Adventure,Intamin,Walt Disney Imagineering,Steel,looping,custom,operating,launch,33.8046,-117.9218,2001,,37.1856,1850.7456000000002,32.9184,,1,88.0,1.2192,,,156.0,,24.0
Insane Speed,Janfusun Fancyworld,Bolliger & Mabillard,Werner Stengel,Steel,floorless,,operating,lift,23.6187,120.5758,2001,,,816.0014160000001,40.005,,4,85.44,1.3716,,4.0,,1200.0,
Lego Technic Test Track,,Mack Rides,,Steel,,wild mouse,,lift,,,2001,,15.78864,121.92,4.63296,,0,56.0,,,,95.0,,4.0
MP Xpress,Movie Park Germany,Vekoma,,Steel,suspended looping,,operating,,51.6246,6.9733,2001,,33.314640000000004,210.0072,,,5,79.52000000000001,,,,96.0,1040.0,20.0
Mulholland Madness,Disney California Adventure,Mack Rides,Walt Disney Imagineering,Steel,,,operating,lift,33.8063,-117.923,2001,2010.0,16.764,365.76,,,0,43.2,1.0668000000000002,,,105.0,,4.0
Nitro (Six Flags Great Adventure),Six Flags Great Adventure,Bolliger & Mabillard,,Steel,hyper,out and back,operating,lift,40.1356,-74.4444,2001,,70.104,1644.0912,65.532,68.0,0,128.0,1.3716,,4.3,140.0,1800.0,36.0
Phantom's Revenge,Kennywood,D. H. Morgan Manufacturing,,Steel,hyper,terrain,operating,lift,40.389,-79.866,2001,,48.768,975.36,69.4944,52.0,0,136.0,1.2192,,3.5,117.0,1400.0,28.0
Silver Streak (Canada's Wonderland),Canada's Wonderland,Vekoma,,Steel,suspended family,,operating,lift,43.8424,-79.5462,2001,,14.81328,342.01608,,,0,41.6,1.1176000000000001,,,76.0,650.0,20.0
Talon ,Dorney Park & Wildwater Kingdom,Bolliger & Mabillard,Werner Stengel,Steel,inverted,,operating,lift,40.579,-75.53,2001,,41.148,947.928,36.576,50.0,4,92.80000000000001,1.3716,,4.5,120.0,1200.0,32.0
The Flash: Vertical Velocity,Six Flags Discovery Kingdom,Intamin,Werner Stengel,Steel,,twister,closed,launch,38.1382,-122.2323,2001,,45.72,192.024,45.72,90.0,1,104.0,1.3716,1.905,,70.0,900.0,28.0
Thundercoaster (TusenFryd),TusenFryd,Vekoma,,Wood,,,operating,lift,59.7472,10.7773,2001,,,289.56,9.7536,57.3,0,92.48,,,2.4,120.0,,24.0
Titan (Six Flags Over Texas),Six Flags Over Texas,Giovanola,Werner Stengel,Steel,hyper,twister,operating,lift,32.7556,-97.0742,2001,,74.676,1619.0976,77.724,,0,136.0,1.2192,,,210.0,1600.0,30.0
Vertical Velocity ,Six Flags Great America,Intamin,,Steel,,twister,operating,launch,42.3679,-87.9324,2001,,56.692800000000005,192.024,,,0,112.0,1.3716,2.032,,,1100.0,28.0
Vonkaputous,Linnanmäki,Premier Rides,Werner Stengel,Steel,custom,,closed,,60.1883,24.9381,2001,2017.0,24.0792,330.03744,,,0,59.68,,,2.5,60.0,,
Wildfire (Silver Dollar City),Silver Dollar City,Bolliger & Mabillard,Werner Stengel,Steel,sitting,custom,operating,lift,36.6686,-93.3425,2001,,36.576,936.6504,47.244,63.0,5,105.60000000000001,1.3208000000000002,,3.6,136.0,1300.0,32.0
Wile E. Coyote's Grand Canyon Blaster,"Arlington, Texas, U.S.",,,Other,,,operating,,32.7557,-97.0702,2001,,,,,,0,,,,,,,
X-Flight (Geauga Lake),Geauga Lake,Vekoma,,Steel,flying,,,lift,,,2001,,35.052,1018.032,,33.0,5,80.0,1.3716,2.032,4.3,130.0,520.0,24.0
Apple Zapple (Kings Dominion),Kings Dominion,Mack Rides,,Steel,,wild mouse,operating,lift,,,2002,,15.8496,399.8976,15.24,,0,56.0,1.1176000000000001,,,,960.0,4.0
Avalancha ,Xetulul Theme Park,Intamin,,Steel,looping,,operating,,,,2002,,,,,,8,87.52000000000001,,,,,,
Batman: The Dark Knight ,Six Flags New England,Bolliger & Mabillard,,Steel,floorless,twister,operating,lift,42.0353,-72.6131,2002,,35.90544,868.6800000000001,,,5,88.0,1.3716,,,140.0,,28.0
Batman: Arkham Asylum ,Parque Warner Madrid,Bolliger & Mabillard,,Steel,inverted,,operating,lift,40.2282,-3.5924,2002,,32.004000000000005,,,,5,79.52000000000001,1.3208000000000002,,4.9,75.0,,
Colossus (Thorpe Park),Thorpe Park,Intamin,Werner Stengel,Steel,inverted,custom,operating,lift,51.4032,-0.513,2002,,29.8704,850.0872,29.5656,,10,72.0,1.397,1.9558000000000002,4.2,105.0,,28.0
Escape from Madagascar,Dreamworld,Vekoma,,Steel,suspended family,,operating,lift,-27.8639,153.3169,2002,,14.904720000000001,104.2416,,,0,41.6,1.1,,2.2,90.0,650.0,20.0
Flying Coaster (Elitch Gardens),Elitch Gardens,Zamperla,Werner Stengel,Steel,custom,,,lift,,,2002,2007.0,15.24,390.99744,5.1816,31.0,2,41.120000000000005,1.3208000000000002,,3.3,48.0,500.0,4.0
Galactica ,Alton Towers,Bolliger & Mabillard,John Wardley,Steel,flying,custom,operating,lift,52.9859,-1.8821,2002,,19.99488,256.03200000000004,,,2,74.56,1.4000000000000001,,3.5,100.0,1500.0,28.0
Goliath (Walibi Holland),Walibi Holland,Intamin,Ing.-Büro Stengel GmbH,Steel,,,operating,lift,52.4386,5.7614,2002,,47.183040000000005,370.0272,14.115288000000001,70.0,0,105.44000000000001,1.4000000000000001,,,92.0,,32.0
Jubilee Odyssey,Fantasy Island (UK amusement park),Vekoma,,Steel,slc,,operating,lift,53.1922,0.3461,2002,,50.9016,891.2352000000001,42.976800000000004,75.0,5,100.80000000000001,1.2953999999999999,,4.8,172.0,350.0,20.0
Lego Technic Test Track,,Mack Rides,,Steel,,wild mouse,,lift,,,2002,,15.78864,121.92,4.63296,,0,56.0,,,,95.0,,4.0
Lost Coaster of Superstition Mountain,Indiana Beach,Custom Coasters International,,Wood,,,operating,lift,40.7886,-86.77,2002,,10.668000000000001,426.72,,,0,32.0,1.2192,,,,,8.0
New Mexico Rattler,Cliff's Amusement Park,,,Wood,,out and back,operating,,35.143,-106.5884,2002,,24.384,838.2,22.86,52.0,0,75.2,1.2192,,,75.0,,24.0
Primeval Whirl,Disney's Animal Kingdom,Reverchon Industries,Walt Disney Imagineering,Steel,spinning,wild mouse,closed,lift,28.3564,-81.5877,2002,2020.0,13.014960000000002,419.98392000000007,,,0,46.56,1.2192,,2.5,90.0,900.0,
Ricochet (Carowinds),Carowinds,Mack Rides,,Steel,,,operating,lift,35.1042,-80.9428,2002,,13.99032,370.0272,,,0,44.800000000000004,1.1176000000000001,,,110.0,,
Rock 'n' Roller Coaster Starring Aerosmith,,Vekoma,Walt Disney Imagineering,Steel,,,,launch,,,2002,2019.0,24.384,995.99496,,,3,91.2,1.2192,,5.0,82.0,1800.0,24.0
Roller Soaker,Hersheypark,Setpoint USA,,Steel,,,closed,lift,40.2914,-76.6531,2002,2012.0,21.336000000000002,396.24,,,0,32.800000000000004,1.0668000000000002,,,,,4.0
Rugrats Runaway Reptar (Dreamworld),Dreamworld,Vekoma,,Steel,suspended family,,operating,lift,-27.8639,153.3169,2002,,14.904720000000001,104.2416,,,0,41.6,1.1,,2.2,90.0,650.0,20.0
Scooby-Doo Spooky Coaster,Warner Bros. Movie World,Mack Rides,Warner Bros. Movie World,Steel,custom,,operating,lift,-27.9078,153.3111,2002,,17.00784,161.544,3.048,,0,44.32,1.1,,2.4,253.0,1000.0,4.0
Silver Star ,Europa-Park,Bolliger & Mabillard,,Steel,hyper,out and back,operating,lift,48.268,7.72,2002,,72.9996,493.776,20.4216,68.5,0,126.24000000000001,1.397,,4.0,,1750.0,
Star Jet,Casino Pier,E&F Miler Industries,,Steel,custom,,closed,,39.9428,-74.0683,2002,2012.0,15.8496,,,,0,,1.0668000000000002,,,,,6.0
Superman: La Atracción de Acero,Parque Warner Madrid,Bolliger & Mabillard,,Steel,floorless,,operating,,40.2277,-3.5906,2002,,50.01768,1099.9927200000002,,,7,99.36000000000001,1.3208000000000002,,,146.0,,
Superman: Ultimate Flight,,Bolliger & Mabillard,,Steel,flying,,,lift,,,2002,,32.308800000000005,847.344,30.48,,2,81.60000000000001,1.3716,,3.0,,1500.0,32.0
Toboggan (Conneaut Lake Park),Conneaut Lake Park,Chance Rides,,Steel,toboggan,,closed,,41.6341,-80.3137,2002,2006.0,13.716000000000001,137.16,,,0,,,,,70.0,,
Tom & Jerry ,Parque Warner Madrid,Zierer,,Steel,,,operating,,40.2298,-3.5961,2002,,7.9248,359.96880000000004,,,0,35.2,,,,65.0,1250.0,
Le Vampire,La Ronde,Bolliger & Mabillard,,Steel,inverted,,operating,lift,45.5225,-73.5381,2002,,32.004000000000005,823.02096,,,5,80.0,1.3716,,4.0,73.0,1400.0,28.0
Wicked Twister,Cedar Point,Intamin,Werner Stengel,Steel,,twister,closed,launch,41.482,-82.6799,2002,2021.0,65.532,205.74,62.7888,90.0,0,115.2,1.3208000000000002,1.9812,,,1000.0,32.0
Winja's Fear & Force,,Maurer AG,Werner Stengel,Steel,xtended,,operating,lift,50.8002,6.8777,2002,,17.397984,410.00781600000005,,45.0,0,59.52000000000001,1.2,2.0,,,1440.0,
X2 ,Six Flags Magic Mountain,Arrow Dynamics,Alan SchilkeRenato Manzoni,Steel,4th dimension,,operating,lift,34.421,-118.5929,2002,,53.34,1100.328,65.532,88.5,2,121.60000000000001,1.2192,,4.0,,1600.0,28.0
Xcelerator,Knott's Berry Farm,Intamin,Werner Stengel,Steel,accelerator,figure 8,operating,launch,33.8458,-118.0008,2002,,62.484,671.1696000000001,,90.0,0,131.20000000000002,1.3208000000000002,,,62.0,1330.0,20.0
Atlantis Adventure,Lotte World,Intamin,,Steel,suspended looping,,operating,,,,2003,,22.00656,669.98088,,,0,74.56,,,,,,
Balder ,Liseberg,Intamin,Ingenieurbüro Stengel GmbH,Wood,custom,,operating,lift,57.6933,11.9961,2003,,35.99688,326.136,9.2964,70.0,0,89.44,1.3,,,128.0,1200.0,30.0
Batman: The Ride,,Bolliger & Mabillard,Werner Stengel,Steel,inverted,,,lift,,,2003,,30.48,820.8264,25.7556,,5,80.0,1.3716,,4.0,105.0,1400.0,32.0
Canyon Blaster (Great Escape),Great Escape,Arrow Development,,Steel,mine train,,,lift,,,2003,1997.0,17.0688,609.6,,,0,72.0,1.0668000000000002,,,120.0,,
Dragon Express,Adventure World,Zamperla,,Steel,family,,operating,lift,-32.097,115.8181,2003,,3.99288,24.384,,,0,,,,,,,12.0
Greased Lightnin' (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Anton Schwarzkopf,Werner Stengel & Reinhold Spieldiener,Other,,,closed,,,,2003,,,,,,2,,,,,,1300.0,
Greezed Lightnin' (Kentucky Kingdom),Kentucky Kingdom,Anton Schwarzkopf,Werner Stengel & Reinhold Spieldiener,Other,,,closed,,,,2003,,,,,,2,,,,,,1300.0,
Half Pipe ,,Intamin,Werner Stengel,Steel,half pipe,custom,,launch,,,2003,2019.0,29.992320000000003,70.01256,,,0,69.60000000000001,1.3208000000000002,,4.5,120.0,,
Jack Rabbit (Celebration City),"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",,,Other,,,operating,,28.3303,-81.5147,2003,,,,,,0,,,,,,,
The Jester ,,Vekoma,,Steel,,cyclone,,lift,,,2003,,24.0792,590.0928,21.031200000000002,40.0,3,64.0,1.2192,,3.5,84.0,1200.0,28.0
Kiddy Hawk,Carowinds,Vekoma,,Steel,suspended family,,operating,lift,,,2003,,14.9352,341.98560000000003,,,0,41.6,1.1176000000000001,1.9304,2.2,90.0,650.0,20.0
Nemesis Inferno,Thorpe Park,Bolliger & Mabillard,John Wardley & Werner Stengel & Jordan Forster,Steel,inverted,,operating,lift,51.4035,-0.5164,2003,,28.98648,228.60000000000002,8.5344,,4,79.52000000000001,1.4000000000000001,,5.0,103.0,1150.0,28.0
Ozark Wildcat,Celebration City,Great Coasters International,,Wood,,,closed,,36.6509,-93.2938,2003,2008.0,24.384,792.48,,,0,72.0,,,,90.0,,24.0
Scream ,Six Flags Magic Mountain,Bolliger & Mabillard,Werner Stengel,Steel,floorless,,operating,lift,34.4286,-118.5983,2003,,45.72,1214.6280000000002,42.976800000000004,,7,100.80000000000001,1.3716,,4.0,180.0,1440.0,32.0
Spider ,Lagoon,Maurer AG,,Steel,xtended,,operating,,40.9844,-111.895,2003,,15.492984,424.001184,,50.0,0,59.68,1.1684,,,70.0,930.0,4.0
Steel Venom (Valleyfair),Valleyfair,Intamin,,Steel,,twister,operating,launch,44.7978,-93.4517,2003,,56.388000000000005,192.024,53.34,90.0,0,108.80000000000001,1.3208000000000002,1.9812,,,950.0,28.0
Superman: Ultimate Flight,,Bolliger & Mabillard,,Steel,flying,,,lift,,,2003,,32.308800000000005,847.344,30.48,,2,81.60000000000001,1.3716,,3.0,,1500.0,32.0
Swamp Thing (Wild Adventures),Wild Adventures,Vekoma,,Steel,suspended family,,operating,,30.7196,-83.3217,2003,,14.630400000000002,341.98560000000003,,,0,41.6,1.1176000000000001,,2.2,90.0,,20.0
Thunder Dolphin,Tokyo Dome City Attractions,Intamin,Werner Stengel,Steel,,,operating,lift,35.7063,139.7533,2003,,80.01,324.9168,20.1168,80.0,0,129.28,1.3,,4.4,90.0,1660.0,
Top Thrill Dragster,Cedar Point,Intamin,Werner Stengel,Steel,accelerator,,closed,launch,41.484,-82.6862,2003,,128.01600000000002,853.44,121.92,90.0,0,192.0,1.3208000000000002,1.9812,,30.0,1000.0,18.0
Twist n' Shout,Loudoun Castle,Anton Schwarzkopf,Werner Stengel,Steel,custom,,closed,lift,55.6104,-4.3689,2003,2010.0,18.501360000000002,554.00448,,,1,65.60000000000001,,,,108.0,1500.0,24.0
Vild-Svinet,BonBon-Land,Gerstlauer,Werner Stengel,Steel,,,operating,,55.2611,11.8634,2003,,22.00656,130.4544,,97.0,1,72.0,1.4000000000000001,,,60.0,,8.0
Vilda Musen,Gröna Lund,Gerstlauer,"Werner Stengel, Wendelin Stückl",Steel,bobsled,,operating,,59.3231,18.0956,2003,,20.759928000000002,430.0423200000001,,40.0,0,54.720000000000006,,,,94.0,800.0,
Booster Bike,Toverland,Vekoma,Vekoma,Steel,motor bike,out and back,operating,,51.3975,5.9842,2004,,14.996160000000001,181.05120000000002,,,0,74.56,1.397,,2.5,68.0,,16.0
Dæmonen,Tivoli Gardens,Bolliger & Mabillard,,Steel,floorless,twister,operating,lift,55.6728,12.5703,2004,,28.011120000000002,171.90720000000002,6.096,,3,76.48,1.32,,4.0,106.0,1200.0,24.0
Dragon's Fury ,Chessington World of Adventures,Maurer AG,,Steel,xtended,,operating,lift,51.348,-0.319,2004,,15.48384,519.9888000000001,,,0,,1.2,,,,550.0,4.0
Fairly Odd Coaster,Nickelodeon Universe,Gerstlauer,Werner Stengel,Steel,spinning,twister,operating,lift,44.8542,-93.2422,2004,,16.4592,409.956,10.3632,50.0,0,49.6,1.0922,,3.2,90.0,720.0,4.0
Half Pipe ,,Intamin,Werner Stengel,Steel,half pipe,custom,,launch,,,2004,2019.0,29.992320000000003,70.01256,,,0,69.60000000000001,1.3208000000000002,,4.5,120.0,,
Hell Cat,Clementon Amusement Park,S&S – Sansei Technologies,,Wood,,out and back,operating,lift,39.802,-74.9847,2004,2019.0,33.528,793.0896,32.004000000000005,62.0,0,89.60000000000001,1.3716,,,90.0,2560.0,
The Joker Funhouse Coaster,Six Flags Over Georgia,Chance Manufacturing,,Steel,big dipper,,operating,launch,33.7678,-84.551,2004,,,274.32,,,0,48.0,0.9144,,,88.0,1000.0,
Journey to Atlantis,SeaWorld Orlando,Mack Rides,,Steel,,water,operating,lift,,,2004,,,,18.288,,0,,1.0668000000000002,,,356.0,,
Lightning ,Kuwait Entertainment City,Bolliger & Mabillard,Werner Stengel,Steel,inverted,,closed,lift,29.3456,47.8182,2004,2016.0,33.8328,780.8976,,,5,84.80000000000001,,,,,,
Nighthawk ,,Vekoma,,Steel,flying,,,lift,,,2004,2003.0,35.052,843.0768,31.3944,53.0,5,81.60000000000001,1.3716,2.0574000000000003,4.3,110.0,1000.0,24.0
Ragin' Cajun ,,Zamperla,,Steel,,wild mouse,,lift,,,2004,2013.0,13.014960000000002,419.98392000000007,,,0,46.56,1.2192,,2.5,90.0,900.0,4.0
Revenge of the Mummy,,Premier Rides,Universal Creative,Steel,,,,launch,,,2004,2022.0,13.53312,,,50.0,0,64.0,1.2192,,,,,16.0
Sand Serpent,,Mack Rides,Werner Stengel,Steel,,wild mouse,,lift,,,2004,2003.0,13.99032,369.99672000000004,,,0,44.800000000000004,,,,110.0,,
Shock Wave (Brean Leisure Park),Brean Leisure Park,Pinfari,,Steel,custom,,operating,lift,51.2861,-3.0089,2004,,,,,,1,,,,,,960.0,
Silver Bullet (Knott's Berry Farm),Knott's Berry Farm,Bolliger & Mabillard,,Steel,inverted,,operating,lift,33.8444,-117.9997,2004,,44.500800000000005,952.5,33.2232,40.0,6,88.0,1.3716,,3.0,150.0,1300.0,32.0
Spinball Whizzer,Alton Towers,Maurer AG,,Steel,custom,,operating,lift,52.9889,-1.8946,2004,,17.00784,143.256,,,0,59.68,1.2,1.95,,75.0,950.0,
Spinning Dragons,Worlds of Fun,Gerstlauer,,Steel,,,operating,lift,39.1754,-94.4879,2004,,16.4592,409.956,15.24,50.0,0,49.6,1.0922,,,60.0,720.0,
Steel Dragon (Waldameer),Waldameer Park,Maurer AG,,Steel,,,operating,lift,42.1081,-80.1589,2004,,15.5448,423.9768,,50.0,0,59.68,1.1684,,,84.0,,
Storm Runner,Hersheypark,Intamin,Werner Stengel,Steel,accelerator,,operating,launch,40.2897,-76.6536,2004,,45.72,792.48,54.864000000000004,90.0,3,120.0,1.3716,,5.0,50.0,1200.0,20.0
Super Grover's Box Car Derby,,Zierer,Ing.-Büro Stengel GmbH,Steel,,,,,,,2004,,,243.84,,,0,44.800000000000004,,,,,,28.0
Superman El Último Escape,Six Flags México,D. H. Morgan Manufacturing,,Steel,hyper,out and back,operating,lift,,,2004,,66.99504,1699.99152,62.484,60.0,0,119.36,1.3,,,184.0,1600.0,36.0
The Gauntlet ,Magic Springs and Crystal Falls,Vekoma,,Steel,slc,,operating,lift,38.1941,-85.747,2004,,33.2232,688.8480000000001,,,5,79.52000000000001,1.3208000000000002,2.0066,,96.0,1040.0,20.0
Thunderhead ,Dollywood,Great Coasters International,Mike Boodley,Wood,,twister,operating,lift,35.7967,-83.5319,2004,,30.601920000000003,984.504,30.48,60.0,0,85.92000000000002,1.2192,1.9304,,150.0,,24.0
Time Warp ,Canada's Wonderland,Zamperla,Ingenieur Büro Stengel GmbH,Steel,,,operating,lift,43.8408,-79.5396,2004,,15.300960000000002,119.17375200000001,,,2,41.120000000000005,1.37,,,64.0,,4.0
Tulireki,Linnanmäki,Mack Rides,,Steel,custom,,operating,,60.1881,24.9381,2004,,16.52016,336.01152,,,0,57.6,,,3.5,,,
Typhoon (Bobbejaanland),Bobbejaanland,Gerstlauer,Werner Stengel,Steel,,,operating,,51.1997,4.9055,2004,,25.69464,204.216,,97.0,4,79.52000000000001,,,5.0,90.0,1400.0,
WhirlWind (Seabreeze),Seabreeze Amusement Park,Maurer AG,Maurer Söhne,Steel,xtended,,operating,lift,43.234,-77.5429,2004,,15.48384,423.9768,,50.0,0,59.68,1.2192,,,70.0,930.0,
