name,location,manufacturer,designer,type,model,track_layout,status,lift_launch,latitude,longitude,open_year,close_year,height,length,drop,max_angle,inversions,speed,restriction_low,restriction_up,gforce,duration,riders_per_hour,riders_per_train
Rampage ,Alabama Splash Adventure,Custom Coasters International,"Larry Bill, Dennis McNulty",Wood,,terrain,operating,lift,33.3792,-86.9969,1998,,36.576,1066.8,31.0896,,0,89.60000000000001,1.2192,,,156.0,900.0,
Rattlesnake ,Chessington World of Adventures,Maurer AG,Werner Stengel,Steel,,wild mouse,operating,lift,51.3487,-0.3178,1998,,15.0114,369.7224,,,0,44.800000000000004,1.4000000000000001,,,,550.0,
The Riddler's Revenge,Six Flags Magic Mountain,Bolliger & Mabillard,Werner Stengel,Steel,stand-up,,operating,lift,34.4245,-118.6006,1998,,47.5488,1331.976,44.500800000000005,,6,104.0,1.3716,,4.2,180.0,1610.0,32.0
Roar ,,Great Coasters International,,Wood,,twister,,lift,,,1998,2015.0,28.956000000000003,1057.0464,25.908,50.0,0,80.80000000000001,1.2192,,3.5,112.0,,24.0
Roller Coaster (Dam Sen Park),Dam Sen Cultural Park,Hebei Zhongye Metallurgical Equipment,,Steel,,,operating,lift,10.7605,106.6368,1998,,23.98776,152.4,7.010400000000001,50.0,3,69.60000000000001,1.3716,,3.8,90.0,960.0,
Scooby's Ghoster Coaster,Kings Island,Caripro,,Steel,custom,,closed,lift,39.3423,-84.2699,1998,2005.0,10.668000000000001,,,,0,12.8,0.9144,,1.0,50.0,,
Shivering Timbers,Michigan's Adventure,Custom Coasters International,,Wood,,out and back,operating,lift,43.3422,-86.2761,1998,,37.1856,1640.7384000000002,,53.3,0,91.2,1.2192,,3.8,150.0,1200.0,24.0
Sprocket Rockets,Six Flags Great America,Vekoma,,Steel,junior,,operating,,42.3669,-87.9311,1998,,8.50392,207.02016000000003,5.486400000000001,,0,34.72,0.9144,,,44.0,780.0,16.0
Storm Chaser ,Kentucky Kingdom,Rocky Mountain Construction,Alan Schilke,Steel,i-box,,operating,lift,38.1958,-85.7503,1998,,30.48,836.3712,,78.0,3,83.2,,,3.8,100.0,960.0,24.0
Thunderhawk (Michigan's Adventure),Michigan's Adventure,Vekoma,,Steel,suspended looping,,,lift,,,1998,2007.0,33.314640000000004,689.0004,30.48,59.0,5,79.52000000000001,1.3208000000000002,1.9812,,96.0,1040.0,20.0
Vapor Trail ,Sesame Place,Vekoma,,Steel,junior,custom,operating,lift,40.1852,-74.8725,1998,,13.1064,396.24,17.0688,,0,43.2,,,,75.0,,20.0
Vogel Rok,Efteling,Vekoma,Ton van de Ven,Steel,mk,,operating,lift,51.6522,5.0525,1998,,24.9936,699.8208000000001,18.8976,,0,64.0,1.20142,,3.5,101.0,1600.0,
Volcano: The Blast Coaster,Kings Dominion,Intamin,Werner Stengel,Steel,suspended,,closed,launch,37.8394,-77.4402,1998,2018.0,47.244,840.3336,24.384,,4,112.0,1.3716,1.9812,,,,16.0
Wild Mouse (Lagoon),Lagoon Amusement Park,Maurer AG,Ing.-Büro Stengel GmbH,Steel,,wild mouse,operating,lift,40.9839,-111.8945,1998,,15.02664,369.7224,,46.0,0,44.800000000000004,1.1684,,,70.0,900.0,4.0
Wilderness Run (Carowinds),Carowinds,E&F Miler Industries,,Steel,,,operating,,35.1011,-80.9388,1998,,4.572,,,,0,24.0,1.016,,,,,12.0
Afterburn ,Carowinds,Bolliger & Mabillard,Ing.-Büro Stengel GmbH,Steel,inverted,,operating,lift,35.1003,-80.9409,1999,,34.4424,900.9888000000001,,,6,99.2,1.3716,,,167.0,1380.0,32.0
Apollo's Chariot,Busch Gardens Williamsburg,Bolliger & Mabillard,Werner Stengel,Steel,hyper,out and back,operating,lift,37.2348,-76.6413,1999,,51.816,1488.0336,64.00800000000001,65.0,0,116.80000000000001,1.3208000000000002,,4.1,135.0,1750.0,36.0
Bandit (Movie Park Germany),Movie Park Germany,Roller Coaster Corporation of America,Ing.-Büro Stengel GmbH,Wood,,cyclone,operating,,51.6242,6.9754,1999,,27.797760000000004,334.97520000000003,7.58952,,0,79.52000000000001,1.2,,,90.0,,30.0
Batman: The Ride,,Bolliger & Mabillard,Werner Stengel,Steel,inverted,,,lift,,,1999,,30.48,820.8264,25.7556,,5,80.0,1.3716,,4.0,105.0,1400.0,32.0
Bizarro ,Six Flags Great Adventure,Bolliger & Mabillard,Werner Stengel,Steel,floorless,,operating,lift,40.1382,-74.4323,1999,,43.281600000000005,1214.6280000000002,40.2336,,7,97.60000000000001,1.3716,,4.0,140.0,1350.0,32.0
Boomerang: Coast to Coaster,,Vekoma,Vekoma,Steel,boomerang,,,lift,,,1999,,35.5092,284.988,,65.0,3,75.2,1.2192,,5.2,108.0,760.0,
Canyon Blaster (Six Flags Magic Mountain),Six Flags Magic Mountain,E&F Miler Industries,Chance Rides,Steel,family,,operating,lift,34.4249,-118.5964,1999,,2.4384,,1.8288000000000002,,0,16.0,0.8382000000000001,,1.0,52.0,200.0,12.0
Dragon Challenge,,Bolliger & Mabillard,Werner Stengel,Steel,inverted,,closed,lift,28.4736,-81.4733,1999,2017.0,38.1,975.36,35.052,,5,96.0,1.3716,,,145.0,,32.0
Exterminator ,Kennywood,Reverchon Industries,Reverchon Industries,Steel,spinning,wild mouse,operating,lift,40.3894,-79.8677,1999,,13.014960000000002,419.98392000000007,,,0,46.56,1.1684,,2.5,108.0,900.0,4.0
Georgia Scorcher,Six Flags Over Georgia,Bolliger & Mabillard,Werner Stengel,Steel,stand-up,,operating,lift,33.7703,-84.5506,1999,,32.6136,914.4000000000001,30.7848,52.0,2,86.4,1.3716,,4.0,84.0,1300.0,32.0
Great Chase (Six Flags America),Six Flags America,Zamperla,,Steel,family,helix,operating,lift,38.9075,-76.772,1999,,3.9624,85.34400000000001,,,0,17.6,,,,66.0,,
Harley Quinn Crazy Train,Six Flags Great Adventure,Zierer,Werner Stengel,Steel,tivoli,figure 8,operating,lift,40.1348,-74.4397,1999,,8.01624,359.99928,,,0,35.839999999999996,1.0414,,,65.0,1250.0,
